name,count
Albany Park,916
Andersonville,122
Archer Heights,707
Armour Square,196
Ashburn,1398
Auburn Gresham,2206
Austin,5117
Avalon Park,654
Avondale,1094
Belmont Cragin,2335
Beverly,648
Boystown,63
Bridgeport,546
Brighton Park,1295
Bucktown,548
Burnside,81
Calumet Heights,618
Chatham,1982
Chicago Lawn,1890
Chinatown,247
Clearing,645
Douglas,622
Dunning,1028
East Side,508
East Village,127
Edgewater,1027
Edison Park,224
Englewood,3414
Fuller Park,396
Gage Park,1013
Galewood,318
Garfield Park,3124
Garfield Ridge,1221
Gold Coast,364
Grand Boulevard,960
Grand Crossing,2384
Grant Park,247
Greektown,84
Hegewisch,298
Hermosa,553
Humboldt Park,2609
Hyde Park,614
Irving Park,1383
Jackson Park,408
Jefferson Park,650
Kenwood,407
Lake View,1416
Lincoln Park,1057
Lincoln Square,763
"Little Italy, UIC",1304
Little Village,1748
Logan Square,1283
Loop,1713
Lower West Side,1309
Magnificent Mile,224
Mckinley Park,687
Millenium Park,69
Montclare,390
Morgan Park,848
Mount Greenwood,441
Museum Campus,190
Near South Side,660
New City,1519
North Center,699
North Lawndale,2085
North Park,523
Norwood Park,815
O'Hare,483
Oakland,172
Old Town,350
Portage Park,1753
Printers Row,57
Pullman,309
River North,1338
Riverdale,272
Rogers Park,1009
Roseland,1583
Rush & Division,161
"Sauganash,Forest Glen",480
Sheffield & DePaul,134
South Chicago,781
South Deering,855
South Shore,2133
Streeterville,780
Ukrainian Village,173
United Center,738
Uptown,1019
Washington Heights,1276
Washington Park,674
West Elsdon,529
West Lawn,978
West Loop,1390
West Pullman,893
West Ridge,1650
West Town,1007
Wicker Park,524
Woodlawn,803
Wrigleyville,112
