name,count
Albany Park,1077
Andersonville,166
Archer Heights,864
Armour Square,248
Ashburn,1646
Auburn Gresham,2501
Austin,5365
Avalon Park,786
Avondale,1270
Belmont Cragin,2675
Beverly,794
Boystown,98
Bridgeport,696
Brighton Park,1584
Bucktown,754
Burnside,104
Calumet Heights,752
Chatham,2323
Chicago Lawn,2174
Chinatown,373
Clearing,774
Douglas,768
Dunning,1152
East Side,509
East Village,158
Edgewater,1214
Edison Park,264
Englewood,3721
Fuller Park,462
Gage Park,1295
Galewood,337
Garfield Park,3182
Garfield Ridge,1532
Gold Coast,478
Grand Boulevard,1060
Grand Crossing,2719
Grant Park,368
Greektown,112
Hegewisch,287
Hermosa,606
Humboldt Park,2786
Hyde Park,760
Irving Park,1712
Jackson Park,468
Jefferson Park,772
Kenwood,491
Lake View,1998
Lincoln Park,1378
Lincoln Square,809
"Little Italy, UIC",1765
Little Village,2052
Logan Square,1538
Loop,2199
Lower West Side,1602
Magnificent Mile,324
Mckinley Park,813
Millenium Park,101
Montclare,440
Morgan Park,1001
Mount Greenwood,465
Museum Campus,322
Near South Side,875
New City,1701
North Center,879
North Lawndale,2306
North Park,652
Norwood Park,1046
O'Hare,617
Oakland,230
Old Town,518
Portage Park,1965
Printers Row,90
Pullman,329
River North,1789
Riverdale,321
Rogers Park,1198
Roseland,1752
Rush & Division,212
"Sauganash,Forest Glen",569
Sheffield & DePaul,206
South Chicago,863
South Deering,1040
South Shore,2317
Streeterville,1076
Ukrainian Village,215
United Center,837
Uptown,1301
Washington Heights,1314
Washington Park,801
West Elsdon,586
West Lawn,1391
West Loop,1632
West Pullman,1017
West Ridge,2037
West Town,1318
Wicker Park,707
Woodlawn,937
Wrigleyville,184
