name,count
Albany Park,1280
Andersonville,191
Archer Heights,1001
Armour Square,278
Ashburn,1517
Auburn Gresham,2229
Austin,4673
Avalon Park,642
Avondale,1630
Belmont Cragin,2946
Beverly,795
Boystown,138
Bridgeport,820
Brighton Park,1681
Bucktown,906
Burnside,88
Calumet Heights,668
Chatham,2097
Chicago Lawn,1985
Chinatown,429
Clearing,785
Douglas,796
Dunning,1417
East Side,546
East Village,225
Edgewater,1612
Edison Park,345
Englewood,2824
Fuller Park,447
Gage Park,1292
Galewood,401
Garfield Park,2711
Garfield Ridge,1705
Gold Coast,486
Grand Boulevard,976
Grand Crossing,2175
Grant Park,493
Greektown,188
Hegewisch,269
Hermosa,676
Humboldt Park,3071
Hyde Park,825
Irving Park,2063
Jackson Park,449
Jefferson Park,1082
Kenwood,507
Lake View,2398
Lincoln Park,1873
Lincoln Square,1262
"Little Italy, UIC",2256
Little Village,2128
Logan Square,2090
Loop,4074
Lower West Side,1873
Magnificent Mile,572
Mckinley Park,815
Millenium Park,157
Montclare,494
Morgan Park,962
Mount Greenwood,556
Museum Campus,287
Near South Side,1158
New City,1554
North Center,1143
North Lawndale,1995
North Park,900
Norwood Park,1220
O'Hare,623
Oakland,184
Old Town,703
Portage Park,2422
Printers Row,107
Pullman,353
River North,3048
Riverdale,243
Rogers Park,1472
Roseland,1485
Rush & Division,319
"Sauganash,Forest Glen",925
Sheffield & DePaul,252
South Chicago,679
South Deering,1009
South Shore,1889
Streeterville,1464
Ukrainian Village,230
United Center,1129
Uptown,1570
Washington Heights,1253
Washington Park,756
West Elsdon,727
West Lawn,1386
West Loop,2756
West Pullman,845
West Ridge,2627
West Town,1931
Wicker Park,941
Woodlawn,758
Wrigleyville,215
