name,count
Albany Park,1221
Andersonville,190
Archer Heights,937
Armour Square,295
Ashburn,1576
Auburn Gresham,2022
Austin,4840
Avalon Park,710
Avondale,1526
Belmont Cragin,3026
Beverly,840
Boystown,140
Bridgeport,795
Brighton Park,1685
Bucktown,907
Burnside,105
Calumet Heights,626
Chatham,2178
Chicago Lawn,1891
Chinatown,457
Clearing,816
Douglas,725
Dunning,1444
East Side,537
East Village,220
Edgewater,1521
Edison Park,351
Englewood,2872
Fuller Park,424
Gage Park,1323
Galewood,368
Garfield Park,2750
Garfield Ridge,1605
Gold Coast,442
Grand Boulevard,908
Grand Crossing,2290
Grant Park,429
Greektown,165
Hegewisch,328
Hermosa,725
Humboldt Park,2821
Hyde Park,834
Irving Park,1995
Jackson Park,418
Jefferson Park,986
Kenwood,504
Lake View,2495
Lincoln Park,1889
Lincoln Square,1254
"Little Italy, UIC",2147
Little Village,2095
Logan Square,1891
Loop,3827
Lower West Side,1914
Magnificent Mile,509
Mckinley Park,873
Millenium Park,151
Montclare,492
Morgan Park,828
Mount Greenwood,548
Museum Campus,402
Near South Side,1183
New City,1603
North Center,1082
North Lawndale,1997
North Park,876
Norwood Park,1324
O'Hare,747
Oakland,166
Old Town,690
Portage Park,2383
Printers Row,91
Pullman,325
River North,2923
Riverdale,259
Rogers Park,1430
Roseland,1475
Rush & Division,317
"Sauganash,Forest Glen",772
Sheffield & DePaul,251
South Chicago,691
South Deering,1072
South Shore,1898
Streeterville,1471
Ukrainian Village,278
United Center,1064
Uptown,1597
Washington Heights,1139
Washington Park,720
West Elsdon,654
West Lawn,1406
West Loop,2680
West Pullman,836
West Ridge,2557
West Town,1931
Wicker Park,874
Woodlawn,754
Wrigleyville,185
